,tanggal,pm10,so2,co,o3,no2,max,critical,categori,location,pm25,no3
24,2021-10-25,65,62,14,70,,104,PM25,TIDAK SEHAT,DKI4,104.0,37.0
25,2021-10-26,75,67,16,50,,130,PM25,TIDAK SEHAT,DKI4,130.0,43.0
26,2021-10-27,62,64,15,50,,90,PM25,SEDANG,DKI4,90.0,39.0
27,2021-10-28,54,67,16,56,,78,PM25,SEDANG,DKI4,78.0,39.0
28,2021-10-29,54,80,19,49,,80,SO2,SEDANG,DKI2,79.0,35.0
29,2021-10-30,64,81,15,58,,103,PM25,TIDAK SEHAT,DKI4,103.0,40.0
30,2021-10-31,56,63,28,56,,79,PM25,SEDANG,DKI4,79.0,32.0
0,2021-11-01,64,77,17,48,41.0,91,PM25,SEDANG,DKI5,91.0,
1,2021-11-02,54,51,18,49,35.0,77,PM25,SEDANG,DKI4,77.0,
2,2021-11-03,52,51,13,73,38.0,83,PM25,SEDANG,DKI4,83.0,
